Ship Mode,Segment,Country,City,State,Postal Code,Region,Category,Sub-Category,Sales,Quantity,Discount,Profit,Sale_HK,Customer_HK,Product_HK,Shipment_ID
Second Class,Consumer,United States,Henderson,Kentucky,42420,South,Furniture,Bookcases,261.96,2,0.0,41.9136,e38a4c748d1e83998724d9cce71e17af5af623f5be487d7067c392b891f0a040,34b51ef63ac0ff58199650e1d48decd435bc74b60f1650284e5cc9508f1594fe,6efa5e33128f0b4ff83694d072b80f0bdbddef88637710f4f7ef9ad8c222b56d,c5497d8a0c520b0410e14d8d2bfd317b306fee5fa95ca640d6afa043dc3b3470
Second Class,Consumer,United States,Henderson,Kentucky,42420,South,Furniture,Chairs,731.94,3,0.0,219.582,e38a4c748d1e83998724d9cce71e17af5af623f5be487d7067c392b891f0a040,34b51ef63ac0ff58199650e1d48decd435bc74b60f1650284e5cc9508f1594fe,1c1e670dff06ad1fb03679f3d2f33caa60dcc23e56df1721f2c24a340bc4d775,c5497d8a0c520b0410e14d8d2bfd317b306fee5fa95ca640d6afa043dc3b3470
Second Class,Corporate,United States,Los Angeles,California,90036,West,Office Supplies,Labels,14.62,2,0.0,6.8714,5cf34d61fe305c3e6696369c13931385217bb96ba3de20bfd6ccc63791bafa80,24338bf73b3971cdc5edce426d6119eac953f3089e8cddd0053d932a53cf9d4a,e7b0c0dae328cd419c24f795525f08290cb6afe5be9aa90178ae0ac8bf31a8d3,131c911e1bea910cf30073c52c3b760ea94a24a52d68630c6aac38873e572eb1
Standard Class,Consumer,United States,Fort Lauderdale,Florida,33311,South,Furniture,Tables,957.5775,5,0.45,-383.031,4f8dc8a31c0a740016956fddb76bfe80711509f8c95b6f51b6af5bc88db2cc61,7866b6cb9c079454141b40fc409cd923bf979b3b4e23ab48dc85f4befd4c3556,ef836db9de0f9722653d1d2dabf92c642ec24dd5a546d1ff259cfc7504ca2584,dd661d1f17d4296707417b815bfa2d09e06a336f65b48e3a5ef8172054345df5
Standard Class,Consumer,United States,Fort Lauderdale,Florida,33311,South,Office Supplies,Storage,22.368,2,0.2,2.5164,4f8dc8a31c0a740016956fddb76bfe80711509f8c95b6f51b6af5bc88db2cc61,7866b6cb9c079454141b40fc409cd923bf979b3b4e23ab48dc85f4befd4c3556,9fd7e5c50749b57a960c713ec78f948afda0a2eab56b53ab92f0c2b3f1a70677,dd661d1f17d4296707417b815bfa2d09e06a336f65b48e3a5ef8172054345df5
Standard Class,Consumer,United States,Los Angeles,California,90032,West,Furniture,Furnishings,48.86,7,0.0,14.1694,c439807011166e8c82355cc78839349a26f4d362c9a13fbaa17be2954565ae8a,438aeac57745dfc6406aeb37deb129488d881e64e56527cc06609de6b2fc3197,c670faa247577d88c07ddcec68dee6e33b6dcd0aa1e33c59ba856679bc485ee9,d2b7d9e0a0339e830d581be9b469c14d68a20edd7d6b08c6fc567abb431645d0
Standard Class,Consumer,United States,Los Angeles,California,90032,West,Office Supplies,Art,7.28,4,0.0,1.9656,c439807011166e8c82355cc78839349a26f4d362c9a13fbaa17be2954565ae8a,438aeac57745dfc6406aeb37deb129488d881e64e56527cc06609de6b2fc3197,4472cba9f09ae8e0f6727f7c2c13dd19abde54ab2a4ae4a2d5d8b562d7bd7392,d2b7d9e0a0339e830d581be9b469c14d68a20edd7d6b08c6fc567abb431645d0
Standard Class,Consumer,United States,Los Angeles,California,90032,West,Technology,Phones,907.152,6,0.2,90.7152,c439807011166e8c82355cc78839349a26f4d362c9a13fbaa17be2954565ae8a,438aeac57745dfc6406aeb37deb129488d881e64e56527cc06609de6b2fc3197,cac0de0d8570bd732dde9e1ddb164c41177bd2f048bc29568da918ccaf63d026,d2b7d9e0a0339e830d581be9b469c14d68a20edd7d6b08c6fc567abb431645d0
Standard Class,Consumer,United States,Los Angeles,California,90032,West,Office Supplies,Binders,18.504,3,0.2,5.7825,c439807011166e8c82355cc78839349a26f4d362c9a13fbaa17be2954565ae8a,438aeac57745dfc6406aeb37deb129488d881e64e56527cc06609de6b2fc3197,cc485d74b83d26a28d9941b5c18c83be9bff6a4389fad7c654148318fc633b5e,d2b7d9e0a0339e830d581be9b469c14d68a20edd7d6b08c6fc567abb431645d0
Standard Class,Consumer,United States,Los Angeles,California,90032,West,Office Supplies,Appliances,114.9,5,0.0,34.47,c439807011166e8c82355cc78839349a26f4d362c9a13fbaa17be2954565ae8a,438aeac57745dfc6406aeb37deb129488d881e64e56527cc06609de6b2fc3197,9dd41cc5495c54f1715a54124bb37460bdd77b1aa49f2738274c5c4338d1e156,d2b7d9e0a0339e830d581be9b469c14d68a20edd7d6b08c6fc567abb431645d0
Standard Class,Consumer,United States,Los Angeles,California,90032,West,Furniture,Tables,1706.184,9,0.2,85.3092,c439807011166e8c82355cc78839349a26f4d362c9a13fbaa17be2954565ae8a,438aeac57745dfc6406aeb37deb129488d881e64e56527cc06609de6b2fc3197,ef836db9de0f9722653d1d2dabf92c642ec24dd5a546d1ff259cfc7504ca2584,d2b7d9e0a0339e830d581be9b469c14d68a20edd7d6b08c6fc567abb431645d0
